"","volatile.acidity","citric.acid","sulphates","alcohol","quality"
"1",0.7,0,0.56,9.4,"normal"
"2",0.88,0,0.68,9.8,"normal"
"3",0.76,0.04,0.65,9.8,"normal"
"4",0.28,0.56,0.58,9.8,"normal"
"5",0.7,0,0.56,9.4,"normal"
"6",0.66,0,0.56,9.4,"normal"
"7",0.6,0.06,0.46,9.4,"normal"
"8",0.65,0,0.47,10,"bueno"
"9",0.58,0.02,0.57,9.5,"bueno"
"10",0.5,0.36,0.8,10.5,"normal"
"11",0.58,0.08,0.54,9.2,"normal"
"12",0.5,0.36,0.8,10.5,"normal"
"13",0.615,0,0.52,9.9,"normal"
"14",0.61,0.29,NA,9.1,NA
"15",0.62,0.18,0.88,9.2,"normal"
"16",0.62,0.19,0.93,9.2,"normal"
"17",0.28,0.56,0.75,10.5,"bueno"
"18",0.56,0.28,1.28,9.3,"normal"
"19",0.59,0.08,0.5,9,"pobre"
"20",0.32,0.51,1.08,9.2,"normal"
"21",0.22,0.48,0.53,9.4,"normal"
"22",0.39,0.31,0.65,9.7,"normal"
"23",0.43,0.21,0.91,9.5,"normal"
"24",0.49,0.11,0.53,9.4,"normal"
"25",0.4,0.14,0.63,9.7,"normal"
"26",0.39,0.16,0.56,9.3,"normal"
"27",0.41,0.24,0.59,9.5,"normal"
"28",0.43,0.21,0.91,9.5,"normal"
"29",0.71,0,0.55,9.4,"normal"
"30",0.645,0,0.59,9.8,"normal"
"31",0.675,0.07,0.54,10.1,"normal"
"32",0.685,0,0.57,10.6,"normal"
"33",0.655,0.12,0.66,9.8,"normal"
"34",0.605,0.12,0.52,9.4,"normal"
"35",0.32,0.25,0.55,9.2,"normal"
"36",0.645,0,0.55,9.6,"normal"
"37",0.6,0.14,0.6,10.8,"normal"
"38",0.38,0.28,0.73,9.7,"bueno"
"39",1.13,0.09,0.48,9.8,"pobre"
"40",0.45,0.36,0.83,10.5,"normal"
"41",0.45,0.36,0.83,10.5,"normal"
"42",0.61,0.3,0.51,9.3,"pobre"
"43",0.49,0.2,0.9,10.5,"normal"
"44",0.66,0.22,1.2,10.3,"normal"
"45",0.67,0.02,0.52,9.5,"normal"
"46",0.52,0.15,0.56,13.1,"pobre"
"47",0.935,0.43,0.73,9.2,"normal"
"48",0.29,0.52,0.58,9.5,"normal"
"49",0.4,0.23,0.56,9.2,"normal"
"50",0.31,0.37,0.58,9.2,"normal"
"51",0.66,0.26,0.74,9.2,"normal"
"52",0.52,0.04,0.63,9.4,"normal"
"53",0.5,0.04,0.64,9.4,"normal"
"54",0.38,0.36,0.56,9.4,"normal"
"55",0.51,0.15,0.63,10.2,"normal"
"56",0.62,0.04,0.53,9.5,"normal"
"57",0.42,0.57,0.63,9.6,"normal"
"58",0.63,0.12,0.77,9.4,"normal"
"59",0.59,0.18,0.59,10,"normal"
"60",0.39,0.31,0.54,9.4,"normal"
"61",0.4,0.4,0.64,9.2,"normal"
"62",0.69,0.49,0.71,9.3,"normal"
"63",0.52,0.16,0.62,9.5,"bueno"
"64",0.735,0.05,0.57,9.8,"normal"
"65",0.725,0.05,0.39,10.9,"normal"
"66",0.725,0.05,0.39,10.9,"normal"
"67",0.52,0.11,0.58,9.6,"normal"
"68",0.705,0.07,0.58,10.7,"normal"
"69",0.32,0.57,0.79,10.7,"normal"
"70",0.705,0.05,0.95,10.5,"normal"
"71",0.63,0.08,0.54,9.5,"normal"
"72",0.67,0.23,0.48,9.5,"normal"
"73",0.69,0.22,0.48,9.5,"normal"
"74",0.675,0.26,0.53,9.2,"pobre"
"75",0.32,0.54,0.82,9.6,"normal"
"76",0.41,0.64,0.66,10.5,"normal"
"77",0.41,0.64,0.66,10.5,"normal"
"78",0.785,0,0.55,10.7,"normal"
"79",0.75,0.12,0.52,10.1,"normal"
"80",0.625,0.2,1.12,9.1,"pobre"
"81",0.45,0.2,0.56,9.2,"normal"
"82",0.43,0.7,1.28,9.4,"normal"
"83",0.5,0.47,0.57,9.1,"normal"
"84",0.67,0.26,1.14,9.4,"normal"
"85",0.3,0.48,0.78,10.3,"normal"
"86",0.55,0.15,0.59,10.1,"normal"
"87",0.49,0.28,NA,9.9,NA
"88",0.49,0.26,0.64,9.6,"normal"
"89",0.39,0.44,1.22,9.5,"normal"
"90",0.62,0.08,0.53,9,"normal"
"91",0.52,0.26,0.54,9.5,"normal"
"92",0.49,0.28,NA,9.9,NA
"93",0.49,0.29,NA,9.8,NA
"94",0.49,0.26,0.64,9.6,"normal"
"95",1.02,0.04,0.48,10.5,"pobre"
"96",0.6,0.17,0.6,12.9,"normal"
"97",0.775,0,0.56,10.7,"normal"
"98",0.5,0.25,0.63,9.2,"normal"
"99",0.9,0.06,0.56,9.8,"normal"
"100",0.545,0.18,0.59,9,"normal"
"101",0.61,0.3,0.61,10.2,"normal"
"102",0.5,0.3,0.56,10.4,"normal"
"103",0.545,0.18,0.59,9,"normal"
"104",0.575,0.22,0.51,9.2,"normal"
"105",0.49,0.24,0.48,9.4,"normal"
